N,Triton,Torch
256.000000,909.237756,899.610077
384.000000,552.753901,554.197239
512.000000,1483.467617,561.600042
640.000000,733.014385,1348.829851
768.000000,720.301419,624.344737
896.000000,911.768370,546.149346
1024.000000,1108.248146,831.005771
1152.000000,946.458168,876.794806
1280.000000,994.588381,602.746986
1408.000000,2550.819121,595.178433
1536.000000,1537.882649,485.666702
1664.000000,2915.834168,613.496805
1792.000000,1997.567412,656.982990
1920.000000,3911.253799,581.587627
2048.000000,2489.842790,493.618788
2176.000000,6348.620367,809.922197
2304.000000,6206.304891,1473.433834
2432.000000,2500.765205,1394.169348
2560.000000,2085.904685,778.181491
2688.000000,2660.259923,723.548725
2816.000000,3539.667420,750.536347
2944.000000,3981.554783,795.384170
3072.000000,4009.015116,715.994264
3200.000000,2864.150929,673.485780
3328.000000,3300.246862,877.065023
3456.000000,3269.024981,975.312333
3584.000000,4512.524434,930.246371
3712.000000,6797.938597,916.544258
3840.000000,4301.463532,918.765659
3968.000000,7304.741956,975.818188
4096.000000,5578.538280,680.756736
4224.000000,7054.002417,689.274350
4352.000000,13068.388574,1185.368007
4480.000000,5805.174480,884.850223
4608.000000,5813.466688,961.255617
4736.000000,7150.524884,937.662067
4864.000000,14207.128772,987.008761
4992.000000,14050.225965,844.109817
5120.000000,14442.592334,732.535276
5248.000000,14883.945999,724.294322
5376.000000,12756.732910,732.308454
5504.000000,7170.350811,954.467961
5632.000000,5514.972973,1928.282258
5760.000000,4580.173616,1266.505425
5888.000000,6575.332530,1137.661647
6016.000000,6179.945289,1039.563495
6144.000000,5615.448629,1281.816425
6272.000000,4905.975307,1184.088327
6400.000000,5256.395337,1210.223539
6528.000000,5367.699465,1028.992168
6656.000000,12622.110547,1149.681511
6784.000000,7015.529174,1054.249975
6912.000000,6271.314578,926.058872
7040.000000,8722.726099,1023.941678
7168.000000,10281.350079,1082.350305
7296.000000,10623.003572,1138.105509
7424.000000,8938.358483,956.281769
7552.000000,6479.382575,932.534068
7680.000000,7823.036631,1086.552019
7808.000000,11612.495815,1313.451576
7936.000000,3617.022962,1488.645314
8064.000000,6713.568792,1474.868985
8192.000000,8772.899776,1449.172179
8320.000000,9699.218499,1067.548308
8448.000000,8355.587028,882.431244
8576.000000,13246.855872,784.813169
8704.000000,8949.104825,2286.123675
8832.000000,8907.491123,1306.488856
8960.000000,6399.986608,1241.824274
9088.000000,6746.812554,1181.571565
9216.000000,7835.789626,1245.882166
9344.000000,9504.721699,1075.236417
9472.000000,10600.263593,1242.586652
9600.000000,7813.507069,1100.356610
9728.000000,7818.280713,1209.732045
9856.000000,24400.649243,1136.720065
9984.000000,10468.159169,1031.829833
10112.000000,7574.028214,979.101766
10240.000000,8077.104516,1093.199256
10368.000000,7345.875023,1092.187085
10496.000000,17009.636776,1133.170661
10624.000000,17746.536142,1139.668864
10752.000000,18836.975127,998.827460
10880.000000,20472.775127,892.031497
11008.000000,15117.329041,1017.426785
11136.000000,11765.527334,1617.884535
11264.000000,12345.989817,1995.448371
11392.000000,11340.632509,1900.591948
11520.000000,11466.957438,1461.471747
11648.000000,15780.930067,1232.095253
11776.000000,12693.801532,1650.977513
11904.000000,12219.240887,1179.769129
12032.000000,9572.983779,1113.450019
12160.000000,8724.842059,1334.763337
12288.000000,13038.159096,876.456285
12416.000000,11645.558371,774.516760
12544.000000,15406.497319,893.063405
12672.000000,11345.102668,769.586343
