N,Triton,Torch
256.000000,875.382079,714.171649
384.000000,493.361193,530.065028
512.000000,540.581534,510.936027
640.000000,513.698681,1013.106413
768.000000,746.674669,714.257787
896.000000,1886.162047,726.101414
1024.000000,749.575456,897.257141
1152.000000,757.576998,551.267253
1280.000000,1833.068047,584.874136
1408.000000,886.748192,531.926090
1536.000000,740.604412,501.539754
1664.000000,980.832712,564.759573
1792.000000,887.465352,547.294782
1920.000000,2412.209321,569.295933
2048.000000,1036.025593,856.586857
2176.000000,2050.308518,642.182119
2304.000000,1080.740793,1500.352566
2432.000000,1099.238739,1377.121960
2560.000000,1234.046700,794.339333
2688.000000,805.252337,886.237621
2816.000000,1045.426227,1157.171953
2944.000000,1431.321515,775.227918
3072.000000,2458.123875,628.678442
3200.000000,1016.225369,1052.860451
3328.000000,919.066241,1098.930628
3456.000000,1031.204546,902.686632
3584.000000,2514.683578,1055.816257
3712.000000,1370.520063,902.619086
3840.000000,1153.100707,909.210644
3968.000000,1016.900388,949.859348
4096.000000,992.346011,703.413440
4224.000000,1405.689334,705.758898
4352.000000,1260.074492,1069.425437
4480.000000,1175.895770,957.327639
4608.000000,1107.149228,897.667378
4736.000000,989.259530,875.058407
4864.000000,924.021371,992.697739
4992.000000,1241.373628,784.502852
5120.000000,1352.379687,713.728803
5248.000000,1308.632794,657.494073
5376.000000,1125.104726,760.322654
5504.000000,1128.417695,1128.982080
5632.000000,1047.399858,1864.950152
5760.000000,1057.257488,1291.448839
5888.000000,1986.053735,1115.364177
6016.000000,1152.129332,945.281611
6144.000000,2512.253509,1109.243051
6272.000000,1267.643102,1218.288222
6400.000000,1223.160439,1188.087546
6528.000000,1181.741308,1155.413332
6656.000000,1209.293133,982.058679
6784.000000,1374.243304,915.903040
6912.000000,1248.521863,996.553468
7040.000000,1090.757293,1084.423583
7168.000000,888.913228,1059.310299
7296.000000,2247.353838,1009.719206
7424.000000,1259.113508,917.261709
7552.000000,1320.512364,907.537321
7680.000000,1371.143335,912.143169
7808.000000,1403.575336,1228.157246
7936.000000,1443.128031,2065.243809
8064.000000,1257.746386,1528.106451
8192.000000,1221.224493,1285.662152
8320.000000,1070.282120,1014.706327
8448.000000,1058.011719,998.292368
8576.000000,1602.321169,1066.159219
8704.000000,1322.394415,1841.118599
8832.000000,1314.986416,1276.047832
8960.000000,1388.783830,1117.971382
9088.000000,1370.746792,1010.667831
9216.000000,1505.990152,1108.396964
9344.000000,1190.218120,1277.976601
9472.000000,1145.871770,1273.076963
9600.000000,1087.447530,1296.159873
9728.000000,1155.815577,1128.054848
9856.000000,1093.035702,1015.725887
9984.000000,1291.683891,1007.034234
10112.000000,1183.788167,1029.962284
10240.000000,1727.682726,1134.214607
10368.000000,1347.078009,1185.607943
10496.000000,1236.022652,1177.158679
10624.000000,1306.523983,1159.918212
10752.000000,1229.332041,913.384621
10880.000000,1413.053530,888.449637
11008.000000,1347.212149,971.017394
11136.000000,1197.551945,1428.289474
11264.000000,1291.145927,1975.641265
11392.000000,1208.974436,1800.792246
11520.000000,1404.563572,1236.456240
11648.000000,1375.323498,1464.153635
11776.000000,1173.382088,1221.300696
11904.000000,1143.167988,1307.162468
12032.000000,948.936155,1399.234317
12160.000000,1022.384567,1375.840617
12288.000000,1280.169628,836.318288
12416.000000,1465.599527,747.802714
12544.000000,1515.389530,752.476645
12672.000000,1589.461507,791.649272
