size,Triton,Torch
4096.000000,8.827586,8.347826
8192.000000,17.554286,17.355933
16384.000000,32.855615,34.324023
32768.000000,67.516482,67.147542
65536.000000,126.030769,124.751268
131072.000000,249.502537,239.765849
262144.000000,431.157886,442.810806
524288.000000,730.884728,765.011652
1048576.000000,1206.184018,1177.293374
2097152.000000,1680.410210,1659.139239
4194304.000000,2139.950995,2139.950995
8388608.000000,2500.578631,2512.562326
16777216.000000,2750.964640,2749.762286
33554432.000000,2940.619621,2931.712896
67108864.000000,3026.193365,3021.469927
134217728.000000,3074.439331,3064.518217
