size,Triton,Torch
4096.000000,8.827586,8.302703
8192.000000,17.355933,17.258427
16384.000000,34.324023,34.133333
32768.000000,67.331510,64.335079
65536.000000,127.336788,124.121216
131072.000000,248.242431,238.601945
262144.000000,427.408686,442.810806
524288.000000,759.104267,739.127852
1048576.000000,1173.779141,1198.829288
2097152.000000,1705.926289,1655.646288
4194304.000000,2148.721353,2137.043431
8388608.000000,2508.555019,2512.562326
16777216.000000,2765.475051,2763.045981
33554432.000000,2946.127730,2936.502355
67108864.000000,3030.566510,3017.484829
134217728.000000,3076.224351,3065.824855
